Periodo,PIB,VT_PIB,VA_PIB,Consumo_Gob,Consumo_Gob_VT,Consumo_Gob_VA,FBKF_Pub,VT_FBKF_Pub,VA_FBKF_Pub,FBKF_Priv,VT_FBKF_Priv,VA_FBKF_Priv,Exp_ByS,VT_Exp_ByS,VA_Exp_ByS
1994/01,10436874.51,1.040300998,3.676321524,1447782.914,1.647038013,3.389976836,492956.4809,29.65321494,9.89745399,1973239.219,6.159504952,17.37143043,1588027.58,1.990049565,11.03230097
1994/02,10656483.92,2.104168338,5.577899409,1456454.124,0.598930288,3.495307365,360343.7565,-26.90150745,8.133920057,2130287.623,7.9589136,22.05178495,1585233.121,-0.175970444,7.910559627
1994/03,10737542.32,0.76064858,5.314453429,1451307.121,-0.35339274,3.074288387,374039.8043,3.800828394,6.07318084,2132101.582,0.085150885,19.4097876,1621736.983,2.302744072,8.522082883
1994/04,10861387.82,1.153387756,5.150051639,1453227.097,0.132292902,2.02926737,388164.3728,3.776220683,2.091687205,1993605.862,-6.495737427,7.255222442,1680501.09,3.623528827,7.92910122
1995/01,10238390.03,-5.73589486,-1.901761721,1443169.031,-0.692119397,-0.318686111,412756.5063,6.335494772,-16.26917947,1302975.492,-34.64227224,-33.96768728,1782889.954,6.092757973,12.27071722
1995/02,9737224.153,-4.894967629,-8.626295293,1432063.139,-0.769548903,-1.674682676,274363.2011,-33.52904269,-23.86070352,1213925.651,-6.834345048,-43.01588023,1937379.446,8.66511655,22.21416653
1995/03,9921091.133,1.888289487,-7.603706329,1439914.31,0.548241922,-0.785003472,279575.804,1.899891406,-25.25506623,1225013.471,0.913385472,-42.54431958,2071715.273,6.933893466,27.74668737
1995/04,10110505.61,1.909210124,-6.913317336,1430872.791,-0.627920603,-1.53825278,292700.884,4.694640883,-24.5935731,1318114.335,7.599986959,-33.8829023,1994649.721,-3.719891093,18.69374756
1996/01,10383696.93,2.702054024,1.419235855,1425190.097,-0.397148814,-1.245795436,286307.5336,-2.184260711,-30.6352464,1438801.564,9.156051622,10.42429988,2199238.333,10.25686916,23.35244408
1996/02,10519728.99,1.31005417,8.03622082,1429083.425,0.273179597,-0.208071406,298817.2299,4.369321413,8.913013383,1525354.588,6.015633112,25.65469613,2240349.347,1.869329647,15.63812921
1996/03,10696639.95,1.681706512,7.817172645,1437117.57,0.562188648,-0.194229584,305278.2032,2.162182312,9.193356106,1636206.97,7.267318915,33.5664471,2252657.531,0.549386818,8.733934658
1996/04,11019293.93,3.016404929,8.988554636,1453470.776,1.137917059,1.579314748,320894.5844,5.115458967,9.632256688,1721565.62,5.216861411,30.60821615,2296912.639,1.964573284,15.15368413
1997/01,11039399.91,0.182461591,6.314735303,1485205.27,2.183359598,4.211029333,347616.5642,8.327338954,21.41369801,1668980.875,-3.054472307,15.99798863,2364597.445,2.946773176,7.518926404
1997/02,11292729.75,2.29477914,7.348105341,1500952.864,1.060297485,5.029058299,355835.7317,2.364434933,19.08139692,1795333.133,7.570623485,17.69939578,2417736.17,2.247263046,7.917819707
1997/03,11507357.12,1.900580037,7.579175993,1512201.069,0.749404275,5.224589852,343228.8022,-3.542907106,12.43148007,1899411.05,5.797136776,16.0862339,2504598.55,3.592715416,11.18416869
1997/04,11792634.06,2.479082994,7.018055159,1524307.265,0.800567862,4.87360941,335931.8334,-2.12597801,4.686040105,1946563.579,2.482481528,13.06938034,2543406.594,1.54947165,10.73153373
1998/01,11901675.28,0.924655404,7.810889924,1508041.645,-1.067082697,1.537590542,313645.2357,-6.634261907,-9.772643759,2021486.401,3.848978913,21.12100449,2625256.613,3.218125591,11.02340562
1998/02,11986746.72,0.71478538,6.145697089,1518009.843,0.661002802,1.136410047,311589.6245,-0.655393736,-12.43441938,2073668.467,2.581371145,15.5032695,2637970.148,0.4842778,9.109098867
1998/03,12048682.17,0.516699419,4.704164834,1533349.585,1.01051665,1.398525426,318215.4634,2.126463262,-7.287657297,2113543.729,1.922933333,11.27363552,2566698.489,-2.701761365,2.479436861
1998/04,12064864.54,0.134308182,2.30847899,1547889.855,0.948268387,1.547102122,308037.7331,-3.198377019,-8.303500137,2137168.483,1.117779246,9.791866329,2720790.257,6.003500931,6.974255053
1999/01,12187247.8,1.014377485,2.399431291,1586974.672,2.525038658,5.234141017,340589.825,10.56756635,8.590785441,2165865.137,1.342741773,7.142206641,2694281.222,-0.974313807,2.629251896
1999/02,12259177.07,0.590201075,2.272763077,1606281.633,1.216589135,5.814968238,330422.7648,-2.985133251,6.044212926,2185017.166,0.884266939,5.369648062,2751218.94,2.113280438,4.29302782
1999/03,12378824.98,0.975986467,2.740074039,1614954.003,0.539903426,5.321970826,348131.228,5.359335094,9.401103373,2173358.11,-0.533591044,2.830051716,2810663.621,2.160667051,9.505017155
1999/04,12492530.44,0.918548086,3.544721989,1618360.911,0.210960099,4.552717789,392065.9958,12.62017431,27.27856158,2180150.443,0.312527117,2.011163894,2865656.505,1.95658005,5.324418055
2000/01,12727264.37,1.878994213,4.430996804,1664530.217,2.852843628,4.887005891,429323.2824,9.502809976,26.05287972,2234569.745,2.496125983,3.172155432,2975625.712,3.837487388,10.44228373
2000/02,12919473.99,1.51021946,5.386143887,1657042.415,-0.449844784,3.160142086,459216.5902,6.962889976,38.97849636,2225902.357,-0.387877269,1.871161095,3065752.227,3.028825671,11.43250661
2000/03,13051243.34,1.019928166,5.432004753,1657852.182,0.048868182,2.656309639,472479.1409,2.888081788,35.71868964,2211277.38,-0.657035872,1.744731799,3162223.562,3.146742725,12.50807598
2000/04,12938468.36,-0.864093804,3.569636419,1647798.562,-0.606424389,1.818979321,425464.2533,-9.950680045,8.518529491,2204318.368,-0.314705514,1.1085439,3200511.664,1.210796794,11.68511154
2001/01,12942559.27,0.03161823,1.691603952,1608000.711,-2.415213362,-3.396123798,412088.9195,-3.143703318,-4.014308946,2100233.651,-4.721854996,-6.01172079,3156239.231,-1.383292356,6.069766039
2001/02,12872628.41,-0.540317084,-0.362596613,1606129.438,-0.116372606,-3.072521038,430969.1128,4.581582383,-6.151231901,1986593.825,-5.410818278,-10.7510795,3133892.363,-0.708021971,2.222623722
2001/03,12900792.35,0.218789317,-1.152771346,1616562.818,0.649597665,-2.490533502,415058.0266,-3.691931922,-12.15315331,2068401.41,4.117982451,-6.461241423,3042258.232,-2.923971892,-3.793701754
2001/04,12818658.88,-0.636654469,-0.9259943,1615955.098,-0.037593302,-1.932485203,499588.3935,20.36591549,17.42194311,1952768.556,-5.590445533,-11.41168245,3016076.368,-0.860606228,-5.762681579
2002/01,12732258.93,-0.674017088,-1.624874501,1615203.376,-0.046518773,0.447926741,494636.9946,-0.991095662,20.03161726,1901544.231,-2.623164142,-9.460348368,3050864.096,1.153410075,-3.338629505
2002/02,12849017.87,0.91703246,-0.183416615,1606481.004,-0.540016909,0.02188903,528447.7825,6.83547496,22.61848165,1871490.066,-1.580513611,-5.794025816,3089987.412,1.282368347,-1.400971904
2002/03,12949163.12,0.779399984,0.374944165,1626936.169,1.273290147,0.641691808,543209.4968,2.793410203,30.87555523,1893013.083,1.150047122,-8.479414376,3124447.407,1.115214746,2.70158446
2002/04,12979617.04,0.23518062,1.255655236,1620339.055,-0.405493075,0.271292007,559213.3804,2.94617154,11.93482228,1864761.419,-1.492417798,-4.506787873,3128087.933,0.116517446,3.713817295
2003/01,13010776.33,0.240063267,2.187494042,1624820.618,0.276581768,0.595419874,594559.2976,6.320649411,20.20113823,1861802.788,-0.158660042,-2.089956285,3084457.678,-1.394789916,1.101116961
2003/02,13040552.75,0.228859625,1.490657683,1636953.533,0.746723346,1.896849577,562530.8863,-5.38691624,6.4496635,1888748.752,1.447304931,0.922189548,3069981.326,-0.46933219,-0.647448793
2003/03,13035358.82,-0.039829047,0.665646885,1598580.657,-2.344164039,-1.742877981,535787.2025,-4.754171623,-1.366377859,1891080.708,0.12346568,-0.102079346,3199648.536,4.223713325,2.406861727
2003/04,13178753.9,1.100047088,1.534227576,1597581.586,-0.062497377,-1.404488132,547279.6705,2.144968733,-2.134017235,1887628.893,-0.182531349,1.226294872,3280625.722,2.53081503,4.876390684
2004/01,13363802.44,1.404142905,2.713336238,1601886.875,0.26948793,-1.411463047,539920.3491,-1.344709429,-9.189823237,2019674.211,6.995300759,8.479492253,3384060.815,3.152907459,9.713316503
2004/02,13570827.6,1.54914859,4.066352574,1606510.885,0.288660173,-1.859713636,564669.0803,4.583774472,0.380102508,2053735.724,1.686485507,8.735252497,3466354.644,2.431807022,12.91126153
2004/03,13541588.01,-0.215459144,3.883507913,1583954.64,-1.404051766,-0.914937661,600731.9283,6.386545563,12.12136564,1991663.427,-3.022409187,5.318795668,3497790.906,0.906896877,9.31797247
2004/04,13721196.04,1.32634391,4.116035081,1602542.308,1.173497468,0.310514477,597106.3127,-0.603533029,9.104420459,2071997.487,4.033515875,9.767205572,3533081.736,1.008946241,7.695361645
2005/01,13743466.89,0.16230984,2.84099117,1611720.651,0.572736414,0.613887039,617330.6148,3.387052128,14.33734917,2114513.362,2.051926962,4.695764827,3567938.264,0.986575759,5.433633094
2005/02,13783380.78,0.290420811,1.56625067,1616527.751,0.298258853,0.623516847,620808.3579,0.563351795,9.941978341,2099718.63,-0.699675519,2.238988468,3650867.357,2.324286111,5.322961217
2005/03,13899131.27,0.839783017,2.640334781,1643623.342,1.676160002,3.767071388,627255.8625,1.038566005,4.415269587,2137246.399,1.787276099,7.309617201,3647981.752,-0.079038882,4.293877211
2005/04,14131312.84,1.670475437,2.988928976,1666509.151,1.392399819,3.991585283,656578.3027,4.6747176,9.960033692,2206557.568,3.243012527,6.494220251,3883770.695,6.463545006,9.925866009
2006/01,14379636.01,1.757254747,4.628883845,1689202.183,1.361710626,4.807379722,660037.6693,0.526877999,6.918019851,2273074.35,3.014504747,7.498698792,4026990.532,3.687649169,12.86603733
2006/02,14519623.68,0.973513293,5.341526223,1689180.355,-0.001292183,4.494361734,662063.753,0.306964862,6.64543165,2357947.782,3.733860779,12.29827408,4013414.933,-0.337115261,9.9304505
2006/03,14560055.03,0.278460092,4.755144421,1671367.04,-1.054553796,1.68795957,681202.8606,2.890825475,8.600477318,2387043.785,1.23395449,11.68781407,3929557.416,-2.089430527,7.718669741
2006/04,14596214.58,0.248347597,3.289869407,1664774.04,-0.394467491,-0.104116475,679208.5859,-0.292757833,3.446699831,2417674.291,1.283198328,9.567696117,3934875.043,0.135323816,1.315843606
2007/01,14698305.31,0.69943292,2.21611522,1680763.483,0.960457256,-0.49956718,666670.8088,-1.845939132,1.004963785,2401537.612,-0.667446326,5.651520455,3968809.896,0.862412479,-1.444767141
2007/02,14812302.82,0.775582678,2.015748828,1704179.443,1.393173976,0.887950613,677717.6005,1.65700846,2.364401835,2457442.276,2.327869598,4.21953764,4069950.407,2.548383844,1.408662569
2007/03,14905239.65,0.627430001,2.370764516,1718776.092,0.856520682,2.836543449,701022.0093,3.438660694,2.909434147,2533158.552,3.081100866,6.121159899,4105595.352,0.875807866,4.479841311
2007/04,14963682.69,0.392097249,2.517557578,1733105.1,0.833675115,4.104524627,747893.4719,6.686161345,10.11248789,2636129.042,4.064905062,9.035739514,4068156.873,-0.911889181,3.387193447
2008/01,14932667.12,-0.207272251,1.594481876,1723367.637,-0.561850745,2.534809562,812661.2709,8.660029997,21.89843325,2608537.421,-1.04667186,8.619469771,4117896.7,1.22266246,3.75646118
2008/02,15048840.14,0.777979005,1.596897677,1756865.142,1.943723699,3.091558194,845321.5431,4.018928106,24.73064628,2609127.796,0.022632436,6.172495753,4120568.149,0.064874135,1.243694338
